BEGIN
COLUMNWIDTH = [  15,  15,  15,  15]
COLUMNOFFSET = [   0,   2,   2,   2]
CHANNELNAME = ['Point19','Point20','Point21','Point22']
LENGTH = [   2497578,   2497578,   2497578,   2497578]
UNIT = ['uE','uE','uE','uE']
MINIMUM = [-2.4427910e+002,-6.7495294e+000,-3.5334629e+001,-1.6317976e+002]
MAXIMUM = [+4.2762157e+001,+2.6125334e+001,+7.1237946e+001,+4.0791588e+001]
START = [+2.6661739e-002,+2.6661739e-002,+2.6661739e-002,+2.6661739e-002]
DELTA = [+9.7656250e-004,+9.7656250e-004,+9.7656250e-004,+9.7656250e-004]
# descriptive data
Application = 'TecWare'
Application component = 'ConForm'
File close time = '1543910750'
File create time = '1543910749'
Version number = '9'
Channel name = ['Point19','Point20','Point21','Point22']
Channel number = ['2','4','6','8']
Channel unit = ['uE','uE','uE','uE']
Is monotonic = ['false','false','false','false']
Number of values = ['2497578','2497578','2497578','2497578']
Point id = ['Point19','Point20','Point21','Point22']
Primary id = ['Point19','Point20','Point21','Point22']
Value maximum = ['+4.2762156e-005','+2.6125334e-005','+7.1237948e-005','+4.0791587e-005']
Value minimum = ['-2.4427910e-004','-6.7495293e-006','-3.5334630e-005','-1.6317976e-004']
END
-2.9667227e+001  +3.9745240e+000  +4.5181400e+001  -1.0134223e+001  
-2.9841766e+001  +3.8312979e+000  +4.5176922e+001  -1.0035919e+001  
-2.9658276e+001  +3.7686365e+000  +4.5020199e+001  -9.9867678e+000  
-2.9474787e+001  +3.7328300e+000  +4.5150055e+001  -1.0102944e+001  
-2.9568769e+001  +3.8312979e+000  +4.5082886e+001  -9.9778309e+000  
-2.9635899e+001  +3.6477895e+000  +4.4944073e+001  -1.0263805e+001  
-2.9510590e+001  +3.9297662e+000  +4.5203789e+001  -1.0040387e+001  
-2.9631424e+001  +3.8626285e+000  +4.5270954e+001  -1.0107412e+001  
-2.9631424e+001  +3.8223462e+000  +4.5042587e+001  -1.0094007e+001  
-2.9711981e+001  +3.8760560e+000  +4.4957508e+001  -9.9197416e+000  
-2.9850718e+001  +3.8089187e+000  +4.5105274e+001  -1.0102944e+001  
-2.9859669e+001  +3.9521446e+000  +4.5163486e+001  -1.0304020e+001  
-2.9617998e+001  +3.7552090e+000  +4.5002285e+001  -9.9822989e+000  
